SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,COUNTY
PAST SALE,December-22-2023,Vacant Land,11 Chandoga Dr,Hampton Twp.,NJ,07860-6300,40000.0,,,Hampton Twp.,,74052.0,,,,,Sold,,,https://www.redfin.com/NJ/Newton/11-Chandoga-Dr-07860/home/165428103,GSMLS,3875717.0,N,Y,41.08775,-74.80188,Sussex
PAST SALE,July-2-2024,Vacant Land,65 E Shore Dr,Vernon Twp.,NJ,07462-3438,32000.0,,,Vernon Twp.,,15245.0,,,,,Sold,,,https://www.redfin.com/NJ/Newton/65-E-Shore-Dr-07860/home/165425349,GSMLS,3904619.0,N,Y,41.179671,-74.552279,Sussex
PAST SALE,December-8-2023,Vacant Land,527 Nariticong Ave,Hopatcong Boro,NJ,07843-1625,40000.0,,,Hopatcong Boro,,,,,,,Sold,,,https://www.redfin.com/NJ/Hopatcong/527-Nariticong-Ave-07843/home/188191635,GSMLS,3871820.0,N,Y,40.9376475,-74.6529614,Sussex
PAST SALE,December-15-2023,Vacant Land,265 Lakeview Dr,Hampton Twp.,NJ,07860-6865,35000.0,,,Hampton Twp.,,12632.0,,,,,Sold,,,https://www.redfin.com/NJ/Newton/265-Lakeview-Dr-07860/home/165368586,GSMLS,3864873.0,N,Y,41.125125,-74.783115,Sussex
PAST SALE,October-7-2020,Vacant Land,00 PANTHER PASS-HILLCREST,Byram Twp.,NJ,07821-3135,37900.0,,,Byram Twp.,,,,,,,Sold,,,https://www.redfin.com/NJ/Andover/Panther-Pass-07821/home/165337039,GSMLS,3659871.0,N,Y,40.950726,-74.750139,Sussex
PAST SALE,November-15-2023,Vacant Land,4 Winding Hill Rd,Hopatcong Boro,NJ,07843-1421,40000.0,,,Hopatcong Boro,,55756.0,,,,,Sold,,,https://www.redfin.com/NJ/Hopatcong/4-Winding-Hill-Rd-07843/home/184992850,GSMLS,3865138.0,N,Y,40.925553,-74.664334,Sussex
PAST SALE,November-27-2019,Single Family Residential,120 WOODSIDE Ave,Newton Town,NJ,07860-2313,40000.0,2.0,2.0,Newton Town,,42253.0,1930.0,,,,Sold,,,https://www.redfin.com/NJ/Newton/120-Woodside-Ave-07860/home/37740489,GSMLS,3595072.0,N,Y,41.0450533,-74.7585932,Sussex
PAST SALE,October-2-2024,Vacant Land,29 Myrtle Ave,Frankford Twp.,NJ,07826-4090,35000.0,,,Frankford Twp.,,14810.0,,,,,Sold,,,https://www.redfin.com/NJ/Branchville/29-Myrtle-Ave-07826/home/147051743,GSMLS,3912003.0,N,Y,41.166232,-74.786004,Sussex
PAST SALE,February-16-2024,Vacant Land,55 Birch Dr,Vernon Twp.,NJ,07462-3422,40000.0,,,Vernon Twp.,,20908.0,,,,,Sold,,,https://www.redfin.com/NJ/Vernon-Township/55-Birch-Dr-07462/home/181242859,GSMLS,3876346.0,N,Y,41.179433,-74.550822,Sussex
PAST SALE,,Condo/Co-op,2 Chamonix Dr #423,Vernon,NJ,07462,40000.0,,,,,,2004.0,,,,,,,https://www.redfin.com/NJ/Vernon/2-Chamonix-Dr-07462/unit-423/home/167668042,,,N,Y,41.1836012,-74.5191395,Sussex
PAST SALE,,Condo/Co-op,2 Chamonix Dr #302,Vernon,NJ,07462,37500.0,,,,,,2003.0,,,,,,,https://www.redfin.com/NJ/Vernon/2-Chamonix-Dr-07462/unit-302/home/167667973,,,N,Y,41.1836012,-74.5191395,Sussex
