PAMS_PIN,CLOSEST_WETLAND_ID,CLOSEST_C1_ID
1902_126_14.07,71585,58722
1902_153_24,71044,59003
1902_128_4,71287,61330
1902_136_7,70962,61395
1902_136_8,70962,61395
1902_101_7.02,71228,71046
1902_51_6,101629,73082
1902_111.08_2,118345,72745
1902_105.05_3,71447,73928
1902_109_4.01_C0291,118296,70641
1902_141_4,70755,61420
1902_157_8.16,20355,61417
1902_100_22,101714,94691
1902_69_7.08,70585,72800
1902_102_2.05,70620,73164
1902_69_11,70802,73715
1902_109_4.01_C0190,118296,73520
1902_14_11,69972,72231
1902_102_3.05,70955,94691
1902_7_6.09,101501,96470
1902_7_6.08,101501,96470
1902_102_3.04,70955,94691
1902_34_6.12,118074,73624
1902_141.01_8,70768,61420
1902_112_5.11,72861,73476
1902_112_5.23,72810,73476
1902_7_12.03,70407,71018
1902_57_4,70424,72747
1902_136_10,70962,61395
1902_106.02_11,71661,73929
1902_35_1.07,118074,73336
1902_134_17.01,118163,61420
1902_62_4.06,70153,72229
1902_136_11,70962,61395
1902_111.05_2,101811,73517
1902_111.02_9,101811,58722
1902_70_2.02,70451,71018
1902_1.02_12.05,20270,71372
1902_38_21,101629,73082
1902_109_4.01_C0232,101875,73520
1902_71_9.08,101719,75486
1902_34_1,101556,73622
1902_31_2.01,101556,73622
1902_157_3.02_QFARM,101548,57768
1902_97_13,71182,73508
1902_22_1,69974,73189
1902_24_2,69974,73189
1902_106_11.01,71796,72711
1902_109_4.01_C0215,101875,73520
1902_69_6.03,70505,72733
1902_128_8,71146,61330
1902_111.02_25,7180,73517
1902_31_15,69974,73622
1902_30_10,69974,73622
1902_35_1.06,69994,73624
1902_152_3,5115,59003
1902_136_4,70962,61395
1902_153_19,70925,59003
1902_56_9,70424,72747
1902_12_12,69974,73189
1902_59_1,70390,73082
1902_106_17.01,71580,71578
1902_109_4.01_C0303,101875,70641
1902_60_8,70407,73160
1902_106.02_8,71769,73602
1902_87_11,71228,73508
1902_128_6,71167,61330
1902_105.02_1,118266,73520
1902_47_3,101629,73082
1902_38_18.01,101629,73082
1902_47_6,101629,73082
1902_111.08_4,72349,72745
1902_93_3.05,70998,94691
1902_133_4,71086,61330
